177.08, 

00:00:02 --> 135.42, 104.17, 135.42, 145.83, 265.62, 151.04, 78.12, 72.92, 104.17, 140.62, 166.67, 265.62, 46.88, 62.50, 78.12, 109.37, 10.42, 20.83, 36.46, 62.50, 52.08, 67.71, 93.75, 93.75, 67.71, 104.17, 98.96, 98.96, 104.17, 104.17, 270.83, 57.29, 62.50, 31.25, 10.42, 114.58, 67.71, 57.29, 52.08, 41.67, 52.08, 20.83, 135.42, 135.42, 119.79, 88.54, 93.75, 135.42, 104.17, 93.75, 171.87, 161.46, 114.58, 78.12, 41.67, 31.25, 223.96, 83.33, 62.50, 

00:01:03 --> 26.04, 125.00, 145.83, 114.58, 135.42, 46.88, 151.04, 119.79, 83.33, 83.33, 93.75, 156.25, 125.00, 140.62, 125.00, 161.46, 161.46, 161.46, 93.75, 57.29, 78.12, 62.50, 135.42, 125.00, 270.83, 78.12, 109.37, 98.96, 72.92, 62.50, 98.96, 104.17, 109.37, 114.58, 88.54, 57.29, 20.83, 41.67, 20.83, 20.83, 125.00, 109.37, 98.96, 93.75, 67.71, 57.29, 62.50, 57.29, 104.17, 119.79, 145.83, 130.21, 281.25, 26.04, 46.88, 36.46, 104.17, 88.54, 62.50, 

00:02:04 --> 114.58, 88.54, 104.17, 140.62, 93.75, 46.88, 57.29, 31.25, 88.54, 62.50, 72.92, 125.00, 83.33, 135.42, 62.50, 10.42, 41.67, 26.04, 114.58, 83.33, 67.71, 234.37, 98.96, 104.17, 130.21, 72.92, 67.71, 52.08, 36.46, 98.96, 93.75, 78.12, 57.29, 46.88, 67.71, 67.71, 83.33, 57.29, 78.12, 104.17, 83.33, 187.50, 93.75, 109.37, 52.08, 36.46, 15.63, 41.67, 52.08, 31.25, 26.04, 10.42, 67.71, 83.33, 52.08, 78.12, 67.71, 78.12, 67.71, 

00:03:06 --> 15.63, 15.63, 41.67, 52.08, 46.88, 46.88, 26.04, 31.25, 20.83, 20.83, 26.04, 20.83, 10.42, 20.83, 20.83, 10.42, 20.83, -5.21, 78.12, 83.33, 67.71, 46.88, 46.88, 67.71, 78.12, 67.71, 62.50, 72.92, 72.92, 93.75, 67.71, 52.08, 31.25, 0.00, 20.83, 5.21, 5.21, 52.08, 62.50, 78.12, 67.71, 36.46, 72.92, 67.71, 57.29, 72.92, 88.54, 67.71, 67.71, 36.46, 15.63, 20.83, 26.04, 20.83, 26.04, 31.25, 36.46, 36.46, 36.46, 

00:04:07 --> 10.42, 5.21, 26.04, 36.46, 20.83, 5.21, 78.12, 83.33, 78.12, 72.92, 83.33, 31.25, 15.63, 15.63, 26.04, 26.04, 41.67, 36.46, 26.04, 10.42, 31.25, 5.21, 26.04, 20.83, 10.42, 10.42, 10.42, 10.42, 26.04, 0.00, 31.25, 15.63, 98.96, 78.12, 93.75, 62.50, 26.04, 62.50, 52.08, 57.29, 52.08, 57.29, 57.29, 57.29, 52.08, 57.29, 83.33, 93.75, 78.12, 52.08, 72.92, 67.71, 41.67, 41.67, 31.25, 46.88, 72.92, 67.71, 72.92, 

00:05:08 --> 78.12, 15.63, 15.63, 5.21, 26.04, 20.83, 31.25, 15.63, 109.37, 78.12, 78.12, 5.21, 5.21, 72.92, 67.71, 72.92, 109.37, 10.42, -10.42, 5.21, -15.63, -15.63, -5.21, -20.83, -10.42, 10.42, 20.83, -10.42, 0.00, -10.42, -15.63, -5.21, 0.00, 5.21, 0.00, 10.42, 10.42, 15.63, 20.83, 10.42, 31.25, 10.42, 36.46, 31.25, 62.50, 31.25, 31.25, 5.21, 15.63, 15.63, 26.04, 26.04, 26.04, 26.04, 36.46, 15.63, 20.83, 36.46, 41.67, 

00:06:09 --> 15.63, 46.88, 41.67, 57.29, 26.04, 36.46, 46.88, 31.25, 26.04, -10.42, -15.63, -20.83, -10.42, 10.42, 20.83, 36.46, 15.63, 10.42, 26.04, 10.42, 20.83, 20.83, 26.04, 20.83, 15.63, 5.21, 26.04, 10.42, 26.04, 31.25, 26.04, 20.83, 36.46, 20.83, 36.46, 15.63, 36.46, 20.83, 15.63, 20.83, 20.83, 26.04, 26.04, 10.42, 41.67, 31.25, 31.25, 36.46, 0.00, -15.63, -10.42, -26.04, 5.21, 5.21, 20.83, 10.42, 10.42, 0.00, -10.42, 

00:07:10 --> 36.46, 41.67, 5.21, 15.63, 20.83, 46.88, 20.83, 10.42, 26.04, 36.46, 5.21, 26.04, 26.04, 15.63, 20.83, 20.83, 41.67, 31.25, 46.88, 15.63, 31.25, 52.08, 20.83, 62.50, 26.04, 5.21, 15.63, 15.63, 10.42, 46.88, 36.46, 15.63, 31.25, 41.67, 20.83, 36.46, 20.83, -15.63, 0.00, 10.42, 26.04, 57.29, 20.83, 46.88, 36.46, 41.67, 41.67, 36.46, 26.04, 78.12, 52.08, 114.58, 20.83, 36.46, 31.25, 31.25, 5.21, 26.04, 26.04, 

00:08:11 --> 36.46, 57.29, 41.67, 104.17, -15.63, -15.63, -15.63, -15.63, -26.04, -5.21, 20.83, 20.83, 15.63, 26.04, 0.00, 0.00, 46.88, 46.88, 20.83, 52.08, 46.88, 57.29, 10.42, 31.25, 41.67, 36.46, 31.25, 26.04, 36.46, 26.04, 31.25, 31.25, 36.46, 26.04, 26.04, 0.00, 10.42, 10.42, 20.83, 10.42, 10.42, 10.42, 15.63, 15.63, 0.00, 83.33, 41.67, 15.63, 41.67, 31.25, 46.88, 36.46, 41.67, 15.63, 46.88, 46.88, 62.50, 15.63, 26.04, 

00:09:13 --> -5.21, -5.21, 15.63, 20.83, 0.00, -15.63, 67.71, 26.04, 20.83, 31.25, 15.63, 15.63, 20.83, 15.63, 5.21, 31.25, 26.04, 26.04, 20.83, 20.83, 26.04, 31.25, 31.25, 0.00, 15.63, 26.04, 10.42, 10.42, 15.63, 26.04, 15.63, 10.42, 0.00, 31.25, 20.83, 15.63, 26.04, 15.63, 0.00, 20.83, 52.08, 31.25, 36.46, 52.08, 46.88, 46.88, 57.29, 15.63, 15.63, 10.42, -15.63, -15.63, -10.42, -15.63, -15.63, -26.04, 5.21, 0.00, 52.08, 

00:10:14 --> 46.88, 52.08, 36.46, 26.04, 31.25, 26.04, 15.63, 20.83, 20.83, 31.25, 36.46, 20.83, 20.83, 15.63, 20.83, -20.83, -15.63, -5.21, 26.04, 15.63, 67.71, 46.88, 31.25, 41.67, 31.25, 5.21, 26.04, 26.04, 62.50, 26.04, -57.29, 31.25, 31.25, 57.29, 20.83, 41.67, 15.63, 26.04, 15.63, 15.63, 10.42, 15.63, 26.04, 26.04, -10.42, -5.21, -26.04, 20.83, 52.08, 31.25, 31.25, 0.00, 0.00, 5.21, 5.21, 62.50, -5.21, 20.83, 0.00, 

00:11:15 --> 31.25, 26.04, 15.63, 31.25, 20.83, 15.63, 20.83, 20.83, 26.04, -15.63, -26.04, 15.63, -15.63, 26.04, -15.63, -15.63, -15.63, -20.83, 20.83, 10.42, 15.63, 31.25, 31.25, 41.67, 36.46, 15.63, 52.08, 26.04, 26.04, -15.63, -26.04, -20.83, 5.21, 36.46, 72.92, 26.04, 36.46, 10.42, 5.21, 20.83, 20.83, 10.42, -15.63, 36.46, 36.46, 36.46, 109.37, 46.88, 5.21, 52.08, 26.04, 15.63, 62.50, 20.83, 10.42, -26.04, -15.63, -20.83, -10.42, 

00:12:16 --> 36.46, 31.25, 36.46, 41.67, 46.88, 10.42, 26.04, 20.83, 26.04, 26.04, 10.42, 5.21, 41.67, 36.46, -10.42, -15.63, -20.83, -20.83, -15.63, -20.83, 10.42, 15.63, 31.25, 31.25, 52.08, 46.88, 46.88, 31.25, 31.25, 41.67, 10.42, 15.63, 31.25, 5.21, 83.33, 31.25, 20.83, 15.63, 20.83, 10.42, 57.29, 20.83, 31.25, 20.83, 26.04, 31.25, 20.83, 10.42, -15.63, -20.83, -52.08, 5.21, 20.83, 41.67, 10.42, 10.42, 10.42, 20.83, 36.46, 

00:13:17 --> 20.83, -5.21, 0.00, 31.25, 31.25, 46.88, 36.46, 15.63, 20.83, 10.42, 41.67, -20.83, 26.04, 10.42, 5.21, 46.88, 67.71, 26.04, 41.67, 0.00, 41.67, 26.04, 5.21, 20.83, 15.63, 20.83, 20.83, 15.63, -10.42, -20.83, -10.42, 10.42, 26.04, 36.46, 15.63, 20.83, 36.46, 41.67, 31.25, 10.42, 15.63, 26.04, 20.83, 31.25, 36.46, -5.21, -15.63, -5.21, 15.63, -10.42, 46.88, 36.46, 31.25, 52.08, 31.25, 26.04, 26.04, 31.25, 5.21, 

00:14:19 --> 41.67, 20.83, 10.42, 5.21, 0.00, 15.63, 46.88, 15.63, 10.42, -5.21, -20.83, -15.63, -10.42, -10.42, 5.21, 15.63, 15.63, 26.04, 15.63, 41.67, 10.42, 36.46, 41.67, 20.83, 31.25, 20.83, 52.08, 41.67, 67.71, 46.88, 10.42, 15.63, 26.04, 15.63, 36.46, 20.83, 31.25, 20.83, 26.04, 20.83, 26.04, 15.63, 15.63, 57.29, 46.88, -15.63, -15.63, -20.83, -5.21, 26.04, 46.88, 26.04, 41.67, 26.04, 26.04, -31.25, -10.42, -15.63, -20.83, 

00:15:20 --> -10.42, 57.29, 15.63, 15.63, 31.25, 67.71, 57.29, 20.83, 36.46, 57.29, 78.12, 36.46, 20.83, 46.88, 41.67, 20.83, 36.46, 26.04, 31.25, 26.04, 26.04, -5.21, -15.63, -15.63, -26.04, -10.42, 10.42, 5.21, -10.42, 26.04, 88.54, 67.71, 20.83, 46.88, 31.25, 36.46, 20.83, 15.63, 15.63, 26.04, 26.04, 20.83, 26.04, 36.46, 15.63, 26.04, 10.42, 20.83, 46.88, 10.42, 20.83, 31.25, -10.42, -5.21, -15.63, -20.83, -15.63, 72.92, 0.00, 

00:16:21 --> 46.88, 41.67, 20.83, 20.83, -10.42, 5.21, -5.21, -10.42, 26.04, 5.21, 46.88, 31.25, 20.83, 10.42, 15.63, 5.21, 5.21, 20.83, 20.83, 57.29, 46.88, 26.04, 62.50, 15.63, 36.46, 10.42, -5.21, 20.83, -10.42, 20.83, 15.63, 20.83, 26.04, 0.00, 10.42, 10.42, 0.00, 20.83, 36.46, 26.04, 20.83, 26.04, 31.25, 15.63, 26.04, 15.63, 10.42, 31.25, 26.04, 36.46, 36.46, 31.25, 41.67, 0.00, 10.42, 26.04, -15.63, -15.63, -15.63, 

00:17:22 --> -10.42, -26.04, 15.63, -15.63, -10.42, 31.25, -10.42, 20.83, 41.67, 31.25, 41.67, 15.63, 20.83, 156.25, 15.63, 10.42, -10.42, 0.00, -5.21, -31.25, -5.21, 36.46, 31.25, 31.25, 10.42, 15.63, 26.04, 20.83, 36.46, 10.42, 41.67, 26.04, 46.88, 26.04, 41.67, 31.25, 10.42, 36.46, 15.63, 41.67, 31.25, 36.46, 31.25, 57.29, 46.88, 41.67, 31.25, 62.50, 26.04, 46.88, 31.25, 36.46, 31.25, 41.67, 36.46, 46.88, 41.67, 52.08, 52.08, 

00:18:23 --> 46.88, 46.88, 26.04, 26.04, 26.04, 26.04, 52.08, 52.08, 0.00, 10.42, 15.63, 52.08, 26.04, 20.83, 26.04, 15.63, 15.63, 26.04, 78.12, 26.04, 5.21, 26.04, 20.83, 26.04, 41.67, 5.21, 20.83, 52.08, 20.83, 15.63, 20.83, 26.04, 41.67, 26.04, 36.46, 46.88, 31.25, 26.04, 20.83, 36.46, 31.25, 20.83, 46.88, 20.83, 26.04, 26.04, 36.46, 36.46, 36.46, 10.42, 0.00, 36.46, -36.46, -10.42, 0.00, -15.63, -20.83, -15.63, -20.83, 

